-0.0075 -0.0111 -0.2223 -0.1359 4.5530 -9.6940
-0.0091 -0.0169 -0.1693 -0.1779 4.3514 -9.5127
-0.0064 -0.0202 -0.1166 -0.2174 4.1546 -9.3401
-0.0009 -0.0188 -0.0652 -0.2540 3.9418 -9.1548
0.0066 -0.0166 0.0435 -0.1351 3.7376 -8.9814
0.0114 -0.0127 0.1516 -0.0118 3.5399 -8.8184
0.0137 -0.0065 0.2599 0.1133 3.3664 -8.6775
0.0147 -0.0017 0.1887 0.1459 3.2211 -8.5614
0.0102 0.0006 0.1172 0.1770 3.0763 -8.4433
0.0050 0.0006 0.0458 0.2065 2.9377 -8.3282
0.0008 -0.0013 -0.0501 0.0688 2.7988 -8.2170
-0.0023 -0.0064 -0.1464 -0.0705 2.6551 -8.1020
-0.0030 -0.0128 -0.2418 -0.2111 2.5105 -7.9961
-0.0039 -0.0174 -0.1903 -0.2444 2.3708 -7.9064
0.0017 -0.0216 -0.1390 -0.2758 2.2312 -7.8146
0.0091 -0.0220 -0.0874 -0.3035 2.0998 -7.7404
0.0164 -0.0193 0.0385 -0.1375 2.4440 -7.4669
0.0238 -0.0130 0.1642 0.0315 2.7852 -7.0764
0.0279 -0.0074 0.2933 0.1977 3.0778 -6.6016
0.0257 -0.0011 0.2338 0.2506 3.0732 -6.4060
0.0251 0.0065 0.1705 0.3027 3.0302 -6.3735
0.0182 0.0103 0.1053 0.3559 2.9929 -6.3293
0.0093 0.0066 -0.0130 0.2126 2.5580 -6.5888
0.0032 0.0005 -0.1313 0.0672 2.0662 -6.8517
-0.0032 -0.0080 -0.2495 -0.0781 1.6382 -7.1317
-0.0060 -0.0171 -0.2095 -0.1483 1.4428 -7.0123
-0.0062 -0.0225 -0.1698 -0.2178 1.2779 -6.8928
-0.0062 -0.0223 -0.1328 -0.2849 1.1117 -6.7733
-0.0010 -0.0192 -0.0031 -0.1454 0.9537 -6.6335
0.0041 -0.0124 0.1244 -0.0005 0.7977 -6.4995
0.0079 -0.0053 0.2514 0.1470 0.6520 -6.3510
0.0097 -0.0001 0.2069 0.1933 0.5125 -6.2023
0.0069 0.0023 0.1658 0.2367 0.3709 -6.0608
-0.0013 0.0036 0.1254 0.2815 0.2396 -5.9281
